Date,Time,Name,Status
01-03-2023,14:44:59,Unknown,Present
01-03-2023,14:50:43,bella Hadid,Present
01-03-2023,15:18:30,Unknown,Present
02-03-2023,22:22:06,Unknown,Present
02-03-2023,22:22:06,Unknown,Present
02-03-2023,22:22:06,Unknown,Present
02-03-2023,22:22:06,Unknown,Present
02-03-2023,22:22:06,Unknown,Present
02-03-2023,22:22:06,Unknown,Present
02-03-2023,22:22:06,Unknown,Present
